x,y
1.0789037568524396,0.0
1.2491628762481763,0.0
1.4462901639613364,0.0
1.6745256188318969,0.0
1.9387783433748824,0.0
2.2447321333677372,0.0
2.5989677302679484,0.0
3.009104365980746,5.105171348843406e-09
3.483963644454664,4.409343771234757e-09
4.033759285024243,3.808356500576899e-09
4.67031680867789,0.0
5.4073278924694534,2.8409583624988727e-09
6.2606448629671005,7.361219362123677e-09
7.2486216629811615,1.2715791312440921e-08
8.392508625403545,1.2813088262869778e-08
9.71690954532523,9.485727940490154e-09
11.250310881568211,1.7751146278160533e-08
13.025694470195436,1.0614247161279096e-08
15.08124692881637,2.342815880875397e-08
17.461181010222223,1.055735695258498e-08
20.216686571796238,1.3677606373622116e-08
23.40703161504222,1.5094859266789003e-08
27.100837077423527,1.9839600056814e-08
31.377552795932736,1.909383266110397e-08
36.32916638880246,1.9874215715065603e-08
42.062181811590236,2.848724039490551e-08
48.69991014427987,3.15441924828456e-08
56.385121881799705,3.2148821534807866e-08
65.28311777591308,4.1179847649627594e-08
75.58528427903272,4.3086992802631114e-08
87.51321006378333,4.8624341025561686e-08
101.32345216028179,5.4884051918713445e-08
117.31305422569109,5.748648472982493e-08
135.82593563817306,6.175292188636765e-08
157.2602888378721,7.150552277471976e-08
182.0771440238878,7.677742346129336e-08
210.81028542478276,8.547788935388e-08
244.07773243108366,9.724066000899153e-08
282.59503253675757,1.0562235612679509e-07
327.19065200673265,1.1808226534338637e-07
378.8237953073935,1.3167175127611698e-07
438.6050365770993,1.453873742075838e-07
507.82020689776874,1.6323359179656378e-07
587.958051157403,1.8064693922151365e-07
680.7422493733189,2.0054879130246293e-07
788.1684912207888,2.247673052184756e-07
912.5474012008676,2.456444534532313e-07
1056.5542377222255,2.7625451120431976e-07
1223.286435071523,2.984526964050574e-07
1416.3302259390653,3.335139830021701e-07
1639.837777479579,3.6846201039244137e-07
1898.6165000229657,4.062405253304356e-07
2198.2324493706496,4.446819825551878e-07
2545.1300467512183,4.889029016705791e-07
2946.7706914846103,5.321335251209612e-07
3411.7932477662043,5.799548957224171e-07
3950.199857471284,6.31081538172477e-07
4573.571075616193,6.833671606940013e-07
5295.314955811733,7.396468660800512e-07
6130.9554432726445,7.868700218706803e-07
7098.466278410896,8.39257700586481e-07
8218.657592924843,8.700084159459359e-07
9515.62351365604,8.710688511613219e-07
11017.260401697786,8.608508703905257e-07
12755.866873528927,8.444969467852964e-07
14768.83850999095,8.045460044153446e-07
17099.472195561488,7.64417520048675e-07
19797.897388408768,7.31916882553194e-07
22922.15435185789,6.850724695013701e-07
26539.442538884046,6.474191684738577e-07
30727.565981058833,5.969859541125573e-07
35576.60677073234,5.681396624361004e-07
41190.86263127776,5.803758157527031e-07
47691.090250478956,5.900587478868748e-07
55217.102628782064,5.993784252030186e-07
63930.77630861728,6.433776055258911e-07
74019.53316710293,6.847162986822055e-07
85700.37166179925,7.487575191728466e-07
99224.53423733183,8.608353444102271e-07
114882.91128384977,9.879665645690663e-07
133012.2978807324,1.0333966437951252e-06
154002.63790146363,1.0965169144271896e-06
178305.4112926863,1.2922643075833407e-06
206443.34492891096,1.4216716339231757e-06
239021.65591306105,1.325130046653261e-06
276741.06915432424,1.501493885272141e-06
320412.88921759836,1.5935448823488086e-06
370976.4506240246,1.81351375649468e-06
429519.3219400626,1.6917936956606825e-06
497300.69822362927,1.5197183864867191e-06
575778.4849740004,1.349967069525445e-06
666640.6561325092,1.0634281990484555e-06
771841.5606113703,4.631005892117966e-07
893643.9582655448,1.431417238719509e-07
1034667.6894568168,1.73620889655378e-08
1197946.0250407686,2.267637540602189e-09
1386990.9088050947,6.40954855665095e-11
1605868.4956548968,0.0
1859286.6102911918,0.0
