x,y
10.616620164890138,1.1028115388762849e-07
11.92590458022024,1.5765580873457337e-07
13.396655229964129,1.7479185693336421e-07
15.048784781339489,1.6887431281913838e-07
16.904661611992637,1.5522338637074466e-07
18.98941265811241,1.769892747470276e-07
21.33126361099484,1.7273321609191017e-07
23.96192106802016,2.18151800886626e-07
26.917001812029568,2.4588688422620657e-07
30.236515031165933,2.77202730503192e-07
33.96540400801006,2.9807064671991165e-07
38.15415461200591,3.2816382379690775e-07
42.85947883362568,3.453251344677817e-07
48.145082614724814,3.899532777012329e-07
54.08252837083299,4.366657791191881e-07
60.75220388317268,4.372464191148175e-07
68.24441067834891,5.141806872718906e-07
76.66058663141169,5.352627493104105e-07
86.11467934525882,5.956637058061427e-07
96.7346889007258,6.552180344587665e-07
108.66440086483811,7.038334984880016e-07
122.06533302063096,7.30661270962868e-07
137.1189221755412,8.209679331098979e-07
154.02898065582917,8.87781539235661e-07
173.02445574580054,9.58370728950936e-07
194.36252943220097,1.0251550675302745e-06
218.3321004215905,1.1006126087621614e-06
245.25769557414475,1.1885658396734676e-06
275.50386371124563,1.2729148733019795e-06
309.4801112851452,1.4025736017034329e-06
347.64644673531814,1.524199299392977e-06
390.5196085971984,1.6494259332587143e-06
438.6800616864058,1.76754832443672e-06
492.7798560806233,1.9201611388585942e-06
553.5514553028175,2.05271074859902e-06
621.8176532316174,2.204319368023413e-06
698.5027140050729,2.351240365272345e-06
784.644885742276,2.5050853297244944e-06
881.4104575075971,2.671112833417669e-06
990.1095498364424,2.869245981154717e-06
1112.2138526123315,3.0624895574632123e-06
1249.3765504505132,3.314911227243125e-06
1403.4547053602469,3.5698353288081083e-06
1576.534399727262,3.819037819650849e-06
1770.958980030221,4.026901754725282e-06
1989.360783686201,4.306442029352451e-06
2234.6967785787137,4.548681443329984e-06
2510.288597796047,4.768384585835407e-06
2819.8675116150134,5.047113296376139e-06
3167.6249456110904,5.2250221304724025e-06
3558.269228865654,5.372089966738871e-06
3997.089340590983,5.576854779085119e-06
4490.026518246148,5.605356277027536e-06
5043.754696654552,5.562262292890519e-06
5665.770867197858,5.542242673955046e-06
6364.496580470115,5.477618316227196e-06
7149.391966648556,5.085062391150244e-06
8031.083817316365,4.733285971307124e-06
9021.509462852388,4.459136290740625e-06
10134.078393360784,4.159518656592353e-06
11383.853811345534,3.927832385403444e-06
12787.756574192956,3.784006628586134e-06
14364.794287663704,3.5964482452998183e-06
16136.318652118109,3.417306271374589e-06
18126.31454571589,3.261183930159357e-06
20361.72475852188,3.067213379674706e-06
22872.81477413135,3.100553641054013e-06
25693.58253763662,3.171612510331355e-06
28862.21875783176,3.337884276199396e-06
32421.62397574165,3.5275471363458287e-06
36419.98940012723,3.604427931467377e-06
40911.449373967946,3.445076239611814e-06
45956.81430574208,3.105405346558887e-06
51624.39398874845,3.19720629002501e-06
57990.922455487496,3.214111117151019e-06
65142.596888814296,3.395554355623778e-06
73176.24465580487,3.496083906152979e-06
82200.63426494556,3.586965355326104e-06
92337.9479958504,3.399741607034887e-06
103725.43613961406,3.386118208101392e-06
116517.27524675612,3.676256234899581e-06
130886.65554179688,4.294705707606096e-06
147028.12576621718,5.22265240358881e-06
165160.22719690777,4.484326391480114e-06
185528.45250239776,4.167876273833651e-06
208408.5694971659,3.7125407270295526e-06
234110.3547947377,2.907459118913268e-06
262981.78790994175,1.623064947110726e-06
295413.7625947681,2.903311081958429e-07
331845.37919516815,8.165588078049773e-08
372769.8896826392,5.529462672132724e-08
418741.3758510767,2.7454194456167712e-08
470382.2510957996,1.7315270508372156e-09
528391.6873422167,0.0
593555.0812173234,0.0
666754.6876276445,0.0
748981.5647128907,0.0
841348.9918994781,0.0
945107.5427225196,0.0
