x_m,y_m,y_p
603.8810732308488,0.0002298643350206,5.692202791530773e-07
673.6373607944436,0.0002476662915087,5.913279900467159e-07
751.4514264046679,0.0002360941981,6.204952914299946e-07
838.2540504874387,0.0002422419015861,6.230720057083194e-07
935.0835309748942,0.0002225297253291,5.823033996338521e-07
1043.0981030059193,0.0001969516260992,5.389163235768602e-07
1163.5897932671005,0.0001740574329771,5.096157607397364e-07
1297.9998746941355,0.0001790514870172,4.697560338823585e-07
1447.9361063966012,0.0001654407565021,4.243107807078373e-07
1615.191965023093,0.0001460173345836,3.331363774620352e-07
1801.7680976045617,9.758576251746072e-05,2.906563317161316e-07
2009.8962524860933,6.10390896377721e-05,2.70738801203908e-07
2242.065974599267,4.740687987627496e-05,2.203847534587788e-07
2501.054384393178,5.21179699955344e-05,2.201630589513278e-07
2789.959396627643,6.633822771641236e-05,1.981635557861952e-07
3112.236776378397,5.462633330072605e-05,1.9241987716558613e-07
3471.741475503245,3.8688335211641e-05,1.5242069180973767e-07
3872.773744019277,2.9015530304902888e-05,1.3710807372710201e-07
4320.130567956824,2.9805457750350466e-05,1.1803328018260633e-07
4819.163048968977,2.211042718906733e-05,1.4238417070227358e-07
5375.840412048416,3.673989761797217e-05,2.595385350537653e-07
5996.821406985957,2.7159595943699383e-05,2.3441959213982746e-07
6689.533957646278,1.948564402068859e-05,1.7967870935674755e-07
7462.2640117932515,2.4341639966699483e-05,2.625813104495302e-07
8324.254654250635,2.2996244432569567e-05,3.2473287840682546e-07
9285.81666894972,1.318331391933529e-05,3.1451604239878817e-07
10358.451872362464,1.526405910624718e-05,6.565016314784117e-07
11554.990693584901,2.839657026018593e-05,1.3811200573483135e-06
12889.74564674807,2.363044168218039e-05,1.5052471317810148e-06
14378.682531531722,1.3625825431210383e-05,7.951472624466479e-07
16039.611409611902,1.247859658051876e-05,9.633491793457584e-07
17892.39964142569,7.1522136528331245e-06,8.205665284479316e-07
19959.209531513,6.861990776528346e-06,1.384477756498204e-06
22264.76342505262,5.153892458168207e-06,1.2615857951455494e-06
24836.639426570648,4.545678855439915e-06,1.5121674749167322e-06
27705.60127808887,4.809796081991783e-06,2.96306668847306e-06
30905.96634258208,3.499006009116312e-06,2.5405264348191923e-06
34476.01609441423,2.224050430851528e-06,1.7531295092748982e-06
38458.45402687408,1.7324967402935627e-06,2.400509527244444e-06
42900.91645411489,2.422086718776681e-06,2.7796084742372256e-06
47856.54231750568,2.8674096882215464e-06,3.748686432867711e-06
53384.60881218639,1.882050357600881e-06,3.5276089085338176e-06
59551.24043693564,1.407447350060588e-06,3.651593613838429e-06
66430.19994871964,1.050756474912163e-06,3.92908561510617e-06
74103.77068299992,1.5128269658399622e-06,5.529205182564879e-06
82663.74079376036,5.37350843295974e-07,2.3172670982166576e-06
92212.50118633473,4.042900176108799e-07,2.278539194209397e-06
102864.27027606306,5.834787115893278e-07,3.6278107606786414e-06
114746.46022284645,9.908156694562275e-07,5.069725921002779e-06
128001.20098394592,4.0899203790234006e-07,3.900760622754109e-06
142787.0404151287,3.203472637457019e-07,3.4662843463695083e-06
159280.84075608558,3.353138851269929e-07,3.462778528702104e-06
177679.89418511267,2.886869489863919e-07,3.849426654695989e-06
198204.28274846784,7.456971463730969e-07,8.366837760771927e-06
221099.5108929222,5.572650964647116e-07,7.80170092201179e-06
246639.44209080047,7.718513618035751e-08,7.17753959475358e-07
275129.5746842316,2.5947181814797562e-08,1.7495758553266998e-07
306910.6961329349,0.0,1.320188985551055e-12
342362.95937617787,1.390110875305634e-08,1.5346673907759458e-07
381910.43006870337,3.461562622339296e-09,5.280247150559372e-08
426026.15908282454,0.0,0.0
475237.840951905,0.0,0.0
