x_m,y_m,y_p
10.577566433655463,7.498928291866893e-05,1.6207821920305054e-08
11.799415898023483,0.0002913040688797,2.24972509307852e-08
13.162405209911277,0.000241051421601,3.3717743972487016e-08
14.682837896994581,0.0001800751161433,5.3296066830974166e-08
16.37890076101627,0.0001937136401173,5.588071710845717e-08
18.27088142096365,0.0002604813977855,4.8202400422829886e-08
20.38141098537321,0.0001686447451536,5.8745198867538633e-08
22.735734756510862,0.0003372505849051,5.3452572829777316e-08
25.36201420448176,0.0001355262178227,6.590696185702554e-08
28.2916638233621,0.0001869111520709,7.99002247423134e-08
31.559726898689796,0.0002262008514799,8.516315791039676e-08
35.20529468109312,0.0003379622848223,1.0304918933988937e-07
39.27197398004283,0.0002558377181559,1.0670676109910697e-07
43.80840877089551,0.0002776285088516,1.2895245548489392e-07
48.86886205448088,0.0002164170499134,1.4383416232500026e-07
54.51386492920233,0.0002861598803164,1.4009912696172316e-07
60.81094063958931,0.0004130528201365,1.6471964642297053e-07
67.83541226207763,0.0002884290228466,1.5921885583898277e-07
75.67130368922886,0.0003284432531313,1.7711711601672925e-07
84.41234468959831,0.0002349194672891,1.8935560735555838e-07
94.16309206537169,0.0003088699669672,2.065278551312287e-07
105.0401803186052,0.0003322631516535,2.1415135523873254e-07
117.17371678603388,0.0003091391928692,2.418161256075029e-07
130.70883793048688,0.00028117296093,2.676852518463557e-07
145.8074454046391,0.0002375501463099,2.749837496573009e-07
162.65014265319317,0.0002665956796738,3.039707495693725e-07
181.43839521834454,0.0002593907673648,3.400155943687064e-07
202.3969405892305,0.0003292003626354,3.395284180367831e-07
225.77647642101013,0.0002740317436419,3.702049892003577e-07
251.856659278966,0.0002740001348445,3.912114739782343e-07
280.9494497773924,0.0002955052287508,4.157181916420118e-07
313.4028441264709,0.0002615305746714,4.426758855470222e-07
349.60503672239156,0.0002079786336063,4.708794724585013e-07
389.9890635719392,0.0002562731335131,5.051113912808192e-07
435.037982094315,0.0002589083940794,5.157826121284381e-07
485.2906492588914,0.0002397256257063,5.329783007755606e-07
541.3481671746516,0.0002490905278651,5.443714767577983e-07
