x,y
3411.7932477662043,5.020123666146988e-05
3950.199857471284,4.901661621227598e-05
4573.571075616193,4.82101764343524e-05
5295.314955811733,4.63729161103658e-05
6130.9554432726445,4.12243075033979e-05
7098.466278410896,3.4390610473109016e-05
8218.657592924843,3.215442865572813e-05
9515.62351365604,2.7441083475908562e-05
11017.260401697786,2.3851923454702774e-05
12755.866873528927,1.9994514987592313e-05
14768.83850999095,1.622287900540261e-05
17099.472195561488,1.341556167225136e-05
19797.897388408768,1.0838014953860094e-05
22922.15435185789,8.847769268349317e-06
26539.442538884046,7.050160548808585e-06
30727.565981058833,5.321948989948736e-06
35576.60677073234,4.37219029657746e-06
41190.86263127776,3.6932530643515228e-06
47691.090250478956,3.105655830146761e-06
55217.102628782064,2.5681829505828108e-06
63930.77630861728,2.2576813325309038e-06
74019.53316710293,1.8967433187813837e-06
85700.37166179925,1.6866239045052566e-06
99224.53423733183,1.6732517457331887e-06
114882.91128384977,1.5454136975146063e-06
133012.2978807324,1.3422361645614473e-06
154002.63790146363,1.1794337627090144e-06
178305.4112926863,1.1521312287612304e-06
206443.34492891096,1.1610649537528867e-06
239021.65591306105,8.91906647618014e-07
276741.06915432424,8.869980840737994e-07
320412.88921759836,8.743365465424771e-07
370976.4506240246,8.714564271443129e-07
429519.3219400626,7.16545869976638e-07
497300.69822362927,6.347621735720607e-07
575778.4849740004,5.179218781090557e-07
666640.6561325092,3.940249358798404e-07
771841.5606113703,1.4034124577143744e-07
893643.9582655448,5.3513891969043286e-08
1034667.6894568168,1.0184284165282447e-08
1197946.0250407686,1.463135936267819e-09
1386990.9088050947,4.9842921866812767e-11
